Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
38270553,01/22/2018 12:00:00 AM,11/28/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237,18 IRVING AVENUE,IRVING AVENUE,FLUSHING AVENUE,JEFFERSON STREET,,,ADDRESS,BROOKLYN,,N/A,Pending,02/21/2018 12:20:22 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,11/28/2017 12:00:00 AM,04 BROOKLYN,BROOKLYN,1004889,196270,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.705368503106264,-73.92556043363393,"(40.705368503106264, -73.92556043363393)"
38280550,01/22/2018 12:00:00 AM,01/23/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11212,100 EAST   93 STREET,EAST   93 STREET,DEAD END,RUTLAND ROAD,,,ADDRESS,BROOKLYN,,N/A,Closed,02/21/2018 09:09:08 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/23/2018 12:00:00 AM,17 BROOKLYN,BROOKLYN,1004525,180621,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.662416425262286,-73.92692037514253,"(40.662416425262286, -73.92692037514253)"
38280561,01/22/2018 12:00:00 AM,01/24/2018 10:18:29 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11212,296 LEGION STREET,LEGION STREET,GRAFTON STREET,LEGION STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,02/21/2018 10:15:08 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/24/2018 10:18:29 AM,16 BROOKLYN,BROOKLYN,1007366,180294,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66151192154906,-73.91668134348379,"(40.66151192154906, -73.91668134348379)"
38275554,01/22/2018 12:00:00 AM,01/23/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11233,1939 PARK PLACE,PARK PLACE,BEND,BRISTOL STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,02/21/2018 08:44:25 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/23/2018 12:00:00 AM,16 BROOKLYN,BROOKLYN,1008343,183887,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67137129831277,-73.91314703411085,"(40.67137129831277, -73.91314703411085)"
38281322,01/22/2018 12:00:00 AM,01/23/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11208,902 DREW STREET,DREW STREET,LORING AVENUE,BEND,,,ADDRESS,BROOKLYN,,N/A,Closed,02/21/2018 11:30:15 AM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/23/2018 12:00:00 AM,05 BROOKLYN,BROOKLYN,1022952,182613,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.667822645849625,-73.86049036981154,"(40.667822645849625, -73.86049036981154)"
38281851,01/22/2018 12:00:00 AM,01/22/2018 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,10016,238 EAST   36 STREET,EAST   36 STREET,QUEENS MIDTOWN TUNNEL EXIT,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,02/21/2018 01:45:32 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/22/2018 01:48:55 PM,06 MANHATTAN,MANHATTAN,990939,211226,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.746440627011296,-73.97585962599193,"(40.746440627011296, -73.97585962599193)"
38282930,01/23/2018 12:00:00 AM,12/19/2017 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Mouse Sighting,3+ Family Apt. Building,11225,951 CARROLL STREET,CARROLL STREET,FRANKLIN AVENUE,BEDFORD AVENUE,,,ADDRESS,BROOKLYN,,N/A,Pending,02/22/2018 12:03:10 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/23/2018 12:09:29 PM,09 BROOKLYN,BROOKLYN,995757,182630,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66794642016539,-73.95852049829654,"(40.66794642016539, -73.95852049829654)"
38284758,01/23/2018 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Animal Pvt Property,Dog,3+ Family Apartment Building,11414,87-10 149 AVENUE,149 AVENUE,85 STREET,SOUTH CONDUIT AVENUE,,,ADDRESS,Howard Beach,,N/A,Assigned,02/22/2018 04:33:23 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/23/2018 04:43:32 PM,10 QUEENS,QUEENS,1026413,183352,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.669835227018645,-73.8480098575509,"(40.669835227018645, -73.8480098575509)"
38285110,01/23/2018 12:00:00 AM,01/23/2018 12:00:01 AM,DOHMH,Department of Health and Mental Hygiene,Food Poisoning,1 or 2,Restaurant/Bar/Deli/Bakery,11237,183 WYCKOFF AVENUE,WYCKOFF AVENUE,HIMROD STREET,HARMAN STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,02/06/2018 11:18:25 AM,"The Department of Health and Mental Hygiene will review your complaint within 24 hours.  Complaints of this type usually result in complainant contact and/or inspection by the agency. Initial status will be available 14 days after the date of your complaint by calling 311. If you are experiencing medical symptoms, please seek medical attention or consult the NYC Poison Control Center which can be reached through 311.   Please note your Service Request number for future reference.",01/24/2018 10:27:32 AM,04 BROOKLYN,BROOKLYN,1007281,195370,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.7028923132246,-73.91693618763455,"(40.7028923132246, -73.91693618763455)"
38287419,01/23/2018 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10024,164 WEST   81 STREET,WEST   81 STREET,COLUMBUS AVENUE,AMSTERDAM AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,02/22/2018 12:05:02 PM,The Department of Health and Mental Hygiene will review your complaint to determine appropriate action.  Complaints of this type usually result in an inspection.  Please call 311 in 30 days from the date of your complaint for status,01/23/2018 12:09:30 PM,07 MANHATTAN,MANHATTAN,990824,224901,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.783975052503216,-73.97626128258602,"(40.783975052503216, -73.97626128258602)"
